,bt,km,ownerNo,oem,model,Insurance Validity,Fuel Type,Transmission,Mileage,Engine,Torque,Engine and Transmission,Displacement,No of Cylinder,Values per Cylinder,Dimensions & Capacity,Length,Width,Height,Seating Capacity,Turning Radius,Top Speed,No Door Numbers,Wheel Size,Alloy Wheel Size,City,bhp,rpm,Reg_age,price_in_lakhs
1827,Sedan,61279,2,Honda,Honda City,Comprehensive,Petrol,Manual,17.8,1497,145.0,13.0,1497,4.0,4.0,7.0,4440,1695,1495,5,53,195.0,4,15.0,15.0,Chennai,1173.0,117.0,7,7.48
1828,Sedan,8963,1,Honda,Honda Amaze,Comprehensive,Petrol,Manual,18.6,1199,110.0,11.0,1199,4.0,4.0,5.0,3995,1695,1501,5,47,165.0,4,15.0,15.0,Chennai,8876.0,6000.0,3,8.8
1829,Sedan,80281,1,Maruti,Maruti Swift Dzire,Third Party insurance,Petrol,Manual,21.21,1197,113.0,11.0,1197,4.0,4.0,8.0,3995,1735,1515,5,48,165.0,4,16.0,16.0,Chennai,8180.0,6000.0,6,6.16
1830,SUV,50580,1,MG,MG Hector,Third Party,Petrol,Manual,14.16,1451,250.0,7.0,1451,4.0,4.0,6.0,4655,1835,1760,5,53,165.0,5,17.0,17.0,Chennai,141.0,141.0,4,15.54
1831,Hatchback,21000,1,Mini,Mini Cooper,Comprehensive,Petrol,Automatic,19.23,1598,153.0,9.0,1598,4.0,2.0,8.0,4097,1789,1561,5,53,168.0,4,15.0,15.0,Chennai,98.0,98.0,10,21.0
1832,SUV,55000,1,Audi,Audi Q3,Comprehensive,Diesel,Automatic,15.73,1968,380.0,11.0,1968,4.0,4.0,8.0,4388,2019,1608,5,59,212.0,5,17.0,17.0,Chennai,17433.0,174.0,8,21.75
1833,SUV,70000,2,Mercedes-Benz,Mercedes-Benz GLE,Third Party insurance,Diesel,Automatic,17.9,2143,500.0,13.0,2143,4.0,4.0,8.0,4819,2141,1796,5,59,212.0,5,19.0,19.0,Chennai,20115.0,201.0,6,42.0
1834,SUV,58000,1,Audi,Audi Q5,Comprehensive,Petrol,Automatic,8.5,1984,370.0,12.0,1984,4.0,4.0,8.0,4663,2140,1659,5,58,237.0,5,18.0,18.0,Chennai,248.0,248.0,5,43.0
1835,Sedan,65224,1,Volkswagen,Volkswagen Vento,Comprehensive,Petrol,Manual,16.09,1598,153.0,13.0,1598,4.0,4.0,8.0,4390,1699,1467,5,54,185.0,4,16.0,16.0,Chennai,1032.0,103.0,5,7.25
1836,Hatchback,120000,1,Maruti,Maruti Ritz,Third Party insurance,Petrol,Manual,21.1,1197,114.0,11.0,1197,4.0,4.0,6.0,3715,1680,1620,5,47,156.0,5,14.0,14.0,Chennai,8580.0,6000.0,14,2.75
1837,SUV,42001,1,BMW,BMW X5,Comprehensive,Diesel,Automatic,15.97,2993,560.0,11.0,2993,6.0,4.0,7.0,4886,1938,1762,5,64,230.0,5,19.0,19.0,Chennai,258.0,258.0,5,57.5
1838,Sedan,30316,1,Maruti,Maruti Swift Dzire,Comprehensive,Petrol,Manual,19.0,1197,114.0,12.0,1197,4.0,4.0,8.0,3995,1695,1555,5,48,169.0,4,14.0,14.0,Chennai,858.0,6000.0,7,6.35
1839,Sedan,64000,3,Mercedes-Benz,Mercedes-Benz E-Class,Comprehensive,Diesel,Automatic,13.0,2143,500.0,10.0,2143,4.0,4.0,8.0,4879,1854,1474,5,53,242.0,4,18.0,18.0,Chennai,204.0,204.0,11,18.0
1840,Sedan,40000,1,Volvo,Volvo S60,Comprehensive,Diesel,Automatic,9.0,1984,400.0,12.0,1984,4.0,4.0,8.0,4635,2097,1484,5,565,215.0,4,18.0,18.0,Chennai,181.0,181.0,8,19.0
1841,Hatchback,100526,1,Maruti,Maruti Swift,Comprehensive,Petrol,Manual,22.38,1197,113.0,7.0,1197,4.0,4.0,8.0,3845,1735,1530,5,48,165.0,5,16.0,16.0,Chennai,8850.0,6000.0,7,5.1
