,bt,km,ownerno,oem,model,insurance validity,fuel type,transmission,mileage,engine,torque,engine and transmission,displacement,no of cylinder,values per cylinder,dimensions & capacity,length,width,height,seating capacity,turning radius,top speed,no door numbers,wheel size,alloy wheel size,city,bhp,rpm,reg_age,price_in_lakhs
126,2,110000,3,9,90,5,4,1,17.0,1197,11.4,12.0,1197,4.0,4.0,7.0,3940,1710,1505,5,520,165.0,5,14.0,14.0,0,805200.0,5200.0,12,3.0
127,7,89000,1,6,51,5,1,0,10.91,3198,470.0,11.0,3198,4.0,4.0,7.0,4892,1860,1837,7,53,160.2,5,18.0,18.0,0,197.0,197.0,7,29.75
128,2,29813,2,20,155,2,4,1,22.05,796,69.0,7.0,796,3.0,4.0,8.0,3445,1515,1475,5,46,165.0,5,16.0,16.0,0,4733.0,6000.0,10,2.76
129,2,30000,1,6,54,5,4,1,18.16,1196,112.0,12.0,1196,4.0,4.0,7.0,3886,1695,1525,5,49,157.0,5,14.0,14.0,0,868.0,6300.0,6,5.0
130,2,13345,1,20,172,2,4,0,20.89,1197,113.0,11.0,1197,4.0,4.0,5.0,3700,1690,1595,5,47,165.0,5,15.0,15.0,0,8180.0,6000.0,4,7.3
131,7,17100,1,9,71,2,1,0,18.1,1498,250.0,10.0,1498,4.0,4.0,5.0,4500,1790,1675,7,53,165.0,5,18.0,18.0,0,11342.0,113.0,2,22.45
132,2,75000,1,9,77,2,4,1,18.9,1197,114.0,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,165.0,5,16.0,16.0,0,82.0,6000.0,10,3.99
133,2,75523,2,9,89,2,4,1,20.36,1197,111.8,13.0,1197,4.0,4.0,7.0,3585,1595,1550,5,53,165.0,4,13.0,13.0,0,789.0,6000.0,13,3.12
134,7,47000,1,17,147,2,1,1,16.0,2179,330.0,11.0,2179,4.0,4.0,6.0,4585,1890,1785,7,56,185.0,5,17.0,17.0,0,140.0,140.0,9,12.75
135,7,36500,1,29,256,2,1,1,16.35,1956,350.0,8.0,1956,4.0,4.0,5.0,4598,1894,1706,5,53,165.0,5,17.0,17.0,0,16767.0,167.0,2,19.9
136,4,28253,1,27,243,2,4,1,20.0,999,96.0,7.0,999,3.0,4.0,6.0,3991,1739,1643,7,53,165.0,5,16.0,16.0,0,7101.0,6250.0,4,7.19
137,7,50000,1,9,73,5,1,1,19.67,1582,259.9,11.0,1582,4.0,4.0,5.0,4270,1780,1630,5,53,190.0,5,16.0,16.0,0,1262.0,126.0,8,12.6
138,2,90000,2,9,89,5,4,1,20.36,1197,111.7,13.0,1197,4.0,4.0,7.0,3585,1595,1550,5,53,165.0,4,13.0,13.0,0,789.0,6000.0,14,3.0
139,7,70000,2,1,23,5,1,0,15.97,2993,560.0,11.0,2993,6.0,4.0,7.0,4886,1938,1762,5,64,230.0,5,19.0,19.0,0,258.0,258.0,8,39.81
140,2,52571,1,9,90,2,4,1,18.6,1197,114.7,11.0,1197,4.0,4.0,7.0,3985,1734,1505,5,52,170.0,5,16.0,16.0,0,8183.0,6000.0,8,6.27
141,8,70000,2,1,14,5,1,0,16.07,1995,380.0,12.0,1995,4.0,4.0,8.0,4520,1817,1421,5,53,216.0,4,16.0,16.0,0,181.0,181.0,14,13.0
142,8,61993,1,8,63,2,4,1,17.4,1497,145.0,13.0,1497,4.0,4.0,7.0,4440,1695,1495,5,53,195.0,4,15.0,15.0,0,1173.0,117.0,9,6.72
143,7,57000,1,9,84,2,1,0,16.38,1995,400.11,11.0,1995,4.0,4.0,5.0,4475,1850,1660,5,53,195.68,5,18.0,18.0,0,18246.0,182.0,7,18.25
144,7,80000,2,30,285,5,1,1,14.24,2755,420.0,11.0,2755,4.0,4.0,6.0,4795,1855,1835,7,58,165.0,5,17.0,17.0,0,1745.0,174.0,3,35.0
145,2,36359,1,9,90,2,4,1,18.5,1197,113.7,11.0,1197,4.0,4.0,7.0,3995,1710,1505,5,53,165.0,5,14.0,14.0,0,8285.0,6000.0,11,4.4
146,7,70000,2,29,256,5,1,1,17.0,1956,350.0,12.0,1956,4.0,4.0,5.0,4598,1894,1706,5,53,165.0,4,17.0,17.0,0,1381.0,138.0,5,14.6
147,7,7500,1,16,122,2,4,0,18.9,1451,250.0,8.0,1451,4.0,4.0,5.0,4655,1835,1760,5,53,165.0,5,18.0,18.0,0,141.0,141.0,2,20.41
148,8,30301,1,9,86,2,4,0,17.0,1591,151.0,11.0,1591,4.0,4.0,5.0,4440,1729,1475,5,53,158.83,4,16.0,16.0,0,1213.0,121.0,7,10.33
149,2,66000,1,9,89,2,4,1,20.36,1197,111.8,13.0,1197,4.0,4.0,7.0,3585,1595,1550,5,53,165.0,4,13.0,13.0,0,789.0,6000.0,14,2.75
150,2,56010,1,9,90,2,4,1,18.6,1197,114.7,11.0,1197,4.0,4.0,7.0,3985,1734,1505,5,52,170.0,5,16.0,16.0,0,8183.0,6000.0,7,6.76
151,7,47000,1,21,206,2,1,0,17.9,2143,400.0,11.0,2143,4.0,4.0,8.0,4656,1890,1639,5,53,210.0,5,18.0,18.0,0,170.0,170.0,7,42.9
152,7,60000,2,24,229,5,1,1,19.01,1461,248.0,11.0,1461,4.0,4.0,8.0,4331,2000,1671,5,52,168.0,5,16.0,16.0,0,1085.0,108.0,10,6.5
153,2,83829,1,20,179,5,1,1,25.2,1248,190.0,13.0,1248,4.0,4.0,6.0,3840,1735,1530,5,48,155.0,5,16.0,16.0,0,74.0,4000.0,10,4.44
154,2,10000,1,27,238,5,4,0,22.0,999,91.0,11.0,999,3.0,4.0,5.0,3731,1579,1474,5,49,165.0,5,16.0,16.0,0,67.0,5500.0,4,5.1
155,7,35000,2,27,236,2,1,0,19.6,1461,245.0,11.0,1461,4.0,4.0,8.0,4315,1822,1695,5,52,168.0,5,16.0,16.0,0,10845.0,108.0,8,9.25
156,8,51116,2,8,63,2,4,0,18.0,1497,145.0,13.0,1497,4.0,4.0,8.0,4440,1695,1495,5,53,195.0,4,15.0,15.0,0,1176.0,117.0,4,10.24
157,8,80000,3,28,249,5,1,1,21.14,1498,250.0,11.0,1498,4.0,4.0,6.0,4386,1699,1466,5,53,183.0,4,15.0,15.0,0,10352.0,103.0,8,5.0
158,2,40000,2,31,300,5,4,0,17.21,1197,175.0,12.0,1197,4.0,4.0,8.0,3971,1682,1469,5,497,177.22,5,16.0,16.0,0,1035.0,103.0,7,9.95
159,7,85565,2,8,62,2,4,0,11.1,2354,218.0,10.0,2354,4.0,4.0,7.0,4575,1820,1680,5,59,165.0,5,17.0,17.0,0,1588.0,158.0,12,9.35
160,7,36916,1,6,50,2,4,1,17.0,1497,150.0,13.0,1497,3.0,4.0,6.0,3998,1765,1647,5,53,165.0,4,16.0,16.0,0,12136.0,121.0,6,8.34
161,2,90000,1,31,300,5,1,1,20.14,1498,230.0,13.0,1498,4.0,4.0,8.0,3971,1682,1469,5,497,163.0,5,15.0,15.0,0,888.0,4200.0,9,5.6
162,2,112795,1,20,179,2,4,1,22.38,1197,113.0,7.0,1197,4.0,4.0,8.0,3845,1735,1530,5,48,165.0,5,16.0,16.0,0,8850.0,6000.0,12,4.54
163,8,11000,1,21,190,2,4,0,18.9,1332,250.0,8.0,1332,4.0,4.0,6.0,4549,1992,1446,5,53,230.0,4,17.0,17.0,0,16092.0,160.0,3,36.9
